code,common_name
GBMG,Green-breasted Mountain-gem
GCBR,Green-crowned Brilliant
GFHU,Green-fronted Hummingbird
GFRL,Green-fronted Lancebill
GREL,Greenish Elaenia
GRPU,Greenish Puffleg
GNTA,Green-naped Tanager
GRUP,Green-rumped Parrotlet
GSBR,Green-striped Brushfinch
GTTO,Green-tailed Towhee
GTWA,Green-tailed Warbler
GTCA,Green-throated Carib
GTMG,Green-throated Mountain-gem
GWTE,Green-winged Teal
GRDO,Grenada Dove
GFLY,Grenada Flycatcher
GREW,Grenada Wren
GBAN,Groove-billed Ani
GUCA,Guadalupe Caracara
GUJU,Guadalupe Junco
GUMU,Guadalupe Murrelet
GUSP,Guadalupe Storm-Petrel
GUWO,Guadeloupe Woodpecker
GUFL,Guatemalan Flicker
GUTY,Guatemalan Tyrannulet
GBTE,Gull-billed Tern
GUHA,Gundlach's Hawk
GUSG,Gunnison Sage-Grouse
GYRF,Gyrfalcon
HAWO,Hairy Woodpecker
HAFL,Hammond's Flycatcher
HDFL,Hammond's/Dusky Flycatcher
HAWR,Happy Wren
HRLH,Harlan's Hawk
HADU,Harlequin Duck
HAEA,Harpy Eagle
HAHA,Harris's Hawk
HASP,Harris's Sparrow
HAAK,Hawaii Akepa
HAAM,Hawaii Amakihi
HCRE,Hawaii Creeper
HAEL,Hawaii Elepaio
HAMA,Hawaii Mamo
HAOO,Hawaii Oo
HACO,Hawaiian Coot
HCRO,Hawaiian Crow
HAWD,Hawaiian Duck
HAGA,Hawaiian Gallinule
HAGO,Hawaiian Goose
HAWH,Hawaiian Hawk
HAPE,Hawaiian Petrel
HARA,Hawaiian Rail
HAST,Hawaiian Stilt
HAWF,Hawfinch
HEGU,Heermann's Gull
HELG,Helmeted Guineafowl
HESP,Henslow's Sparrow
HETA,Hepatic Tanager
HEPE,Herald Petrel
HETH,Hermit Thrush
HEWA,Hermit Warbler
HIGU,Highland Guan
HITI,Highland Tinamou
HISN,Himalayan Snowcock
HIAM,Hispaniolan Amazon
HICR,Hispaniolan Crossbill
HIEM,Hispaniolan Emerald
HIEU,Hispaniolan Euphonia
HILC,Hispaniolan Lizard-Cuckoo
HIMA,Hispaniolan Mango
HINI,Hispaniolan Nightjar
HIOR,Hispaniolan Oriole
HIPC,Hispaniolan Palm-Crow
HIPA,Hispaniolan Parakeet
HIPE,Hispaniolan Pewee
HISP,Hispaniolan Spindalis
HITR,Hispaniolan Trogon
HIWO,Hispaniolan Woodpecker
HOWO,Hoffmann's Woodpecker
HOEM,Honduran Emerald
HOCR,Hooded Crane
HCRW,Hooded Crow
HOOG,Hooded Grosbeak
HOME,Hooded Merganser
HOOR,Hooded Oriole
HOWA,Hooded Warbler
HOYE,Hooded Yellowthroat
HBKI,Hook-billed Kite
HOGR,Horned Grebe
HOGU,Horned Guan
HOLA,Horned Lark
HOPU,Horned Puffin
HOFI,House Finch
HOSP,House Sparrow
HUGO,Hudsonian Godwit
HUSA,Humboldt's Sapphire
HUVI,Hutton's Vireo
HWAM,Hwamei
HYBL,Hybrid Bluebird
HYCH,Hybrid Chickadee
HYHU,Hybrid Hummingbird
HYSA,Hybrid Sapsucker
HYTO,Hybrid Towhee
HYWA,Hybrid Warbler
ICGU,Iceland Gull
ICWA,Icterine Warbler
IIWI,Iiwi
IMAM,Imperial Amazon
IMWO,Imperial Woodpecker
INWO,Inagua Woodstar
INDO,Inca Dove
INTE,Inca Tern
INPE,Indian Peafowl
INSI,Indian Silverbill
INBU,Indigo Bunting
ILBH,Indigo X Lazuli Bunting Hybrid
ILTE,Interior Least Tern
ICTO,Inyo California Towhee
IPSP,Ipswich Sparrow
ISCA,Island Canary
ISSJ,Island Scrub-Jay
ISWR,Isthmian Wren
IVGU,Ivory Gull
IBIW,Ivory-billed Woodcreeper
IBWO,Ivory-billed Woodpecker
JABI,Jabiru
JASN,Jack Snipe
JABE,Jamaican Becard
JABL,Jamaican Blackbird
JACR,Jamaican Crow
JAEL,Jamaican Elaenia
JAEU,Jamaican Euphonia
JALC,Jamaican Lizard-Cuckoo
JAMA,Jamaican Mango
JAOR,Jamaican Oriole
JAOW,Jamaican Owl
JAPA,Jamaican Pauraque
JPET,Jamaican Petrel
JPEW,Jamaican Pewee
JAMS,Jamaican Spindalis
JATO,Jamaican Tody
JAVI,Jamaican Vireo
JAWO,Jamaican Woodpecker
JBWA,Japanese Bush Warbler
JAQU,Japanese Quail
JASP,Java Sparrow
JEAN,Jet Antbird
JOPE,Jouanin's Petrel
JFPE,Juan Fernandez Petrel
JUTI,Juniper Titmouse
KAKA,Kakawahie
KAPH,Kalij Pheasant
KAWR,Kalinago Wren
KAMA,Kamao
KLWA,Kamchatka Leaf Warbler
KAAK,Kauai Akialoa
KAAM,Kauai Amakihi
KAEL,Kauai Elepaio
KANU,Kauai Nukupuu
KAOO,Kauai Oo
KBMO,Keel-billed Motmot
KBTO,Keel-billed Toucan
KEGU,Kelp Gull
KEPL,Kentish Plover
KEWA,Kentucky Warbler
KEPE,Kermadec Petrel
KWQD,Key West Quail-Dove
KILL,Killdeer
KIEI,King Eider
KIRA,King Rail
KIVU,King Vulture
KIOE,Kioea
KIWA,Kirtland's Warbler
KIMU,Kittlitz's Murrelet
KOGR,Kona Grosbeak
KUGU,Kumlien's Gull
LSFL,La Sagra's Flycatcher
LSTH,La Selle Thrush
LABD,Labrador Duck
LBWO,Ladder-backed Woodpecker
LANH,Lanai Hookbill
LAMO,Lanceolated Monklet
LANW,Lanceolated Warbler
LATM,Lance-tailed Manakin
LALO,Lapland Longspur
LCGO,Large Canada Goose
LBSF,Large-billed Seed-Finch
LBSP,Large-billed Sparrow
LBTE,Large-billed Tern
LFFI,Large-footed Finch
LARB,Lark Bunting
LASP,Lark Sparrow
LTTR,Lattice-tailed Trogon
LAFA,Laughing Falcon
LAGU,Laughing Gull
LAVW,Lavender Waxbill
LAGO,Lawrence's Goldfinch
LAWA,Lawrence's Warbler
LAAL,Laysan Albatross
LAYD,Laysan Duck
LAFI,Laysan Finch
LAYH,Laysan Honeycreeper
LARA,Laysan Rail
LBFH,Laysan X Black-foot. Albatross Hybrid
LAZB,Lazuli Bunting
LESP,Leach's Storm-Petrel
LEAU,Least Auklet
LBVI,Least Bell's Vireo
LEBI,Least Bittern
LEFL,Least Flycatcher
LEGR,Least Grebe
LEPA,Least Pauraque
LESA,Least Sandpiper
LSTP,Least Storm-Petrel
LETE,Least Tern
LCSP,LeConte's Sparrow
LCTH,LeConte's Thrasher
LSTA,Lemon-spectacled Tanager
LEAK,Lesser Akialoa
LANB,Lesser Antillean Bullfinch
LAEU,Lesser Antillean Euphonia
LAFL,Lesser Antillean Flycatcher
LAPE,Lesser Antillean Pewee
LASA,Lesser Antillean Saltator
LASW,Lesser Antillean Swift
LATA,Lesser Antillean Tanager
LBBG,Lesser Black-backed Gull
LEEL,Lesser Elaenia
LEFR,Lesser Frigatebird
LEGP,Lesser Golden-Plover
LEGO,Lesser Goldfinch
LESG,Lesser Greenlet
LEGC,Lesser Ground-Cuckoo
LEKI,Lesser Kiskadee
LEKF,Lesser Koa-Finch
LENI,Lesser Nighthawk
LEPC,Lesser Prairie-Chicken
LERO,Lesser Roadrunner
LESC,Lesser Scaup
LSGB,Lesser Snow Goose Blue-morph
LSGI,Lesser Snow Goose Intermediate-morph
LSGW,Lesser Snow Goose White-morph
LSTS,Lesser Swallow-tailed Swift
LEVI,Lesser Violetear
LWFG,Lesser White-fronted Goose
LEWH,Lesser Whitethroat
LYHV,Lesser Yellow-headed Vulture
LEYE,Lesser Yellowlegs
LEMO,Lesson's Motmot
LESE,Lesson's Seedeater
LEWO,Lewis's Woodpecker
LFRR,Light-footed Ridgway's Rail
LMAL,Light-mantled Albatross
LCAM,Lilac-crowned Amazon
LIMP,Limpkin
LISP,Lincoln's Sparrow
LIFG,Lineated Foliage-gleaner
LIWO,Lineated Woodpecker
LISE,Lined Seedeater
LIBI,Little Bittern
LBHE,Little Blue Heron
LIBU,Little Bunting
LITC,Little Cuckoo
LICU,Little Curlew
LIEG,Little Egret
LIGU,Little Gull
LRPL,Little Ringed Plover
LIST,Little Stint
LITE,Little Tern
LITI,Little Tinamou
LIWT,Little White-Tern
LOKI,Loggerhead Kingbird
LOSH,Loggerhead Shrike
LBCU,Long-billed Curlew
LBDO,Long-billed Dowitcher
LBGN,Long-billed Gnatwren
LBIH,Long-billed Hermit
LBMU,Long-billed Murrelet
LBST,Long-billed Starthroat
LBTH,Long-billed Thrasher
LEOW,Long-eared Owl
LLBU,Long-legged Buzzard
LTDU,Long-tailed Duck
LTJA,Long-tailed Jaeger
LOTM,Long-tailed Manakin
LTSF,Long-tailed Silky-flycatcher
LTTY,Long-tailed Tyrant
LTWO,Long-tailed Woodcreeper
LTWP,Long-tailed Wood-Partridge
LTST,Long-toed Stint
LWHA,Long-winged Harrier
LOWA,Louisiana Waterthrush
LOCO,Lovely Cotinga
LUHU,Lucifer Hummingbird
LUWA,Lucy's Warbler
MGWA,MacGillivray's Warbler
MTWO,Magenta-throated Woodstar
MAFR,Magnificent Frigatebird
MAWA,Magnolia Warbler
MAST,Maguari Stork
MALL,Mallard
MBDH,Mallard X American Black Duck Hybrid
MHDH,Mallard X Hawaiian Duck Hybrid
MACU,Mangrove Cuckoo
MAHU,Mangrove Hummingbird
MARA,Mangrove Rail
MANS,Mangrove Swallow
MAVI,Mangrove Vireo
MANW,Mangrove Warbler
MASH,Manx Shearwater
MAGO,Marbled Godwit
MAMU,Marbled Murrelet
MAWQ,Marbled Wood-Quail
MASW,Mariana Swiftlet
MASP,Markham's Storm-Petrel
MCGD,Maroon-chested Ground Dove
MFPA,Maroon-fronted Parrot
MASA,Marsh Sandpiper
MAWR,Marsh Wren
MAOR,Martinique Oriole
MATH,Martinique Thrasher
MABO,Masked Booby
MADU,Masked Duck
MATI,Masked Tityra
MAAK,Maui Akepa
MAAL,Maui Alauahio
MANU,Maui Nukupuu
MAPA,Maui Parrotbill
MNAK,Maui-nui Akialoa
MAAN,Mayan Antthrush
MKBU,McKay's Bunting
MEPI,Meadow Pipit
MEAM,Mealy Amazon
MEEG,Medium Egret
MEBL,Melodious Blackbird
MERL,Merlin
MECH,Mexican Chickadee
MEDU,Mexican Duck
MEHE,Mexican Hermit
MEJA,Mexican Jay
MEPA,Mexican Parrotlet
MESH,Mexican Sheartail
MSOW,Mexican Spotted Owl
MSCU,Mexican Squirrel Cuckoo
MEVI,Mexican Violetear
MWPW,Mexican Whip-poor-will
MEWO,Mexican Woodnymph
MGRW,Middendorff's Grasshopper Warbler
MASO,Middle American Screech-Owl
MIMA,Military Macaw
MILL,Millerbird
MCGO,Minima Cackling Goose
MIKI,Mississippi Kite
MSCR,Mississippi Sandhill Crane
MITH,Mistle Thrush
MITY,Mistletoe Tyrannulet
MIPA,Mitred Parakeet
MOPA,Monk Parakeet
MORO,Montezuma Oropendola
MONQ,Montezuma Quail
MORI,Montserrat Oriole
MOSE,Morelet's Seedeater
MODU,Mottled Duck
MOOW,Mottled Owl
MOPE,Mottled Petrel
MOBL,Mountain Bluebird
MOCH,Mountain Chickadee
MOEL,Mountain Elaenia
MOPL,Mountain Plover
MOUQ,Mountain Quail
MOTH,Mountain Thrush
MOTR,Mountain Trogon
MWCS,Mountain White-crowned Sparrow
MODO,Mourning Dove
MOWA,Mourning Warbler
MCTY,Mouse-colored Tyrannulet
MOAN,Moustached Antwren
MUFL,Mugimaki Flycatcher
MUPE,Murphy's Petrel
MUDU,Muscovy Duck
MUSW,Mute Swan
MYWA,Myrtle Warbler
NAPA,Nanday Parakeet
NAFL,Narcissus Flycatcher
NBTO,Narrow-billed Tody
NAWA,Nashville Warbler
NATH,Naumann's Thrush
NAWR,Nava's Wren
NABO,Nazca Booby
NESP,Nelson's Sparrow
NECO,Neotropic Cormorant
NESH,Newell's Shearwater
NIGR,Nicaraguan Grackle
NISF,Nicaraguan Seed-Finch
NIWR,Nightingale Wren
NIFI,Nihoa Finch
NOBW,Northern Barred-Woodcreeper
NOBT,Northern Beardless-Tyrannulet
NOBE,Northern Bentbill
NOBO,Northern Bobwhite
NOBB,Northern Boobook
NOCA,Northern Cardinal
NOET,Northern Emerald-Toucanet
NOFL,Northern Flicker
NOFU,Northern Fulmar
NOGA,Northern Gannet
NOGP,Northern Giant-Petrel
NOHA,Northern Harrier
NHOW,Northern Hawk Owl
NHWR,Northern House Wren
NOJA,Northern Jacana
NOLA,Northern Lapwing
NOMO,Northern Mockingbird
NOPA,Northern Parula
NOPI,Northern Pintail
NOPX,Northern Plain Xenops
NORP,Northern Potoo
NOPO,Northern Pygmy-Owl
NRBI,Northern Red Bishop
NRWS,Northern Rough-winged Swallow
NSWO,Northern Saw-whet Owl
NOSC,Northern Schiffornis
NOSF,Northern Scrub-Flycatcher
NSHO,Northern Shoveler
NSHR,Northern Shrike
NSOW,Northern Spotted Owl
NOWA,Northern Waterthrush
NOWH,Northern Wheatear
NWCS,Nuttall's White-crowned Sparrow
NUWO,Nuttall's Woodpecker
NUFL,Nutting's Flycatcher
OAKE,Oahu Akepa
OAKI,Oahu Akialoa
OAAL,Oahu Alauahio
OAAM,Oahu Amakihi
OAEL,Oahu Elepaio
OANU,Oahu Nukupuu
OAOO,Oahu Oo
OATI,Oak Titmouse
OASP,Oaxaca Sparrow
OCAN,Ocellated Antbird
OCCR,Ocellated Crake
OCPO,Ocellated Poorwill
OCQU,Ocellated Quail
OCTH,Ocellated Thrasher
OCTU,Ocellated Turkey
OCPE,Ochraceous Pewee
OCWR,Ochraceous Wren
OBFL,Ochre-bellied Flycatcher
OBAN,Ochre-breasted Antpitta
OLOF,Ochre-lored Flatbill
OTFG,Ochre-throated Foliage-gleaner
OILB,Oilbird
OLIF,Olivaceous Flatbill
OLPI,Olivaceous Piculet
OLWO,Olivaceous Woodcreeper
OLSP,Olive Sparrow
OLWA,Olive Warbler
OBAE,Olive-backed Euphonia
OBPI,Olive-backed Pipit
OBQD,Olive-backed Quail-Dove
OCAW,Olive-capped Warbler
OCYE,Olive-crowned Yellowthroat
OSFL,Olive-sided Flycatcher
OSTF,Olive-striped Flycatcher
OTPA,Olive-throated Parakeet
OLOM,Olomao
OMAO,Omao
OCBE,One-colored Becard
ORAO,Orange Oriole
OBEE,Orange-bellied Euphonia
OBTR,Orange-bellied Trogon
OBNT,Orange-billed Nightingale-Thrush
OBSP,Orange-billed Sparrow
OBBU,Orange-breasted Bunting
OBFA,Orange-breasted Falcon
OCHW,Orange-cheeked Waxbill
OCPA,Orange-chinned Parakeet
OCMA,Orange-collared Manakin
OCOR,Orange-crowned Oriole
OCWA,Orange-crowned Warbler
OFPA,Orange-fronted Parakeet
ORAN,Orangequit
OROR,Orchard Oriole
ORJU,Oregon Junco
ORCU,Oriental Cuckoo
ORGR,Oriental Greenfinch
ORPL,Oriental Plover
ORPR,Oriental Pratincole
ORSO,Oriental Scops-Owl
ORTD,Oriental Turtle-Dove
ORWA,Oriente Warbler
ORGO,Orinoco Goose
ORHE,Ornate Hawk-Eagle
OSPR,Osprey
OU,Ou
OVEN,Ovenbird
PAAN,Pacific Antwren
PAGP,Pacific Golden-Plover
PALO,Pacific Loon
PACP,Pacific Parakeet
PASO,Pacific Screech-Owl
PAWR,Pacific Wren
PWWR,Pacific/Winter Wren
PBCR,Paint-billed Crake
PABU,Painted Bunting
PAIP,Painted Parakeet
PARE,Painted Redstart
PBHE,Pale-bellied Hermit
PBIW,Pale-billed Woodpecker
PBSP,Pale-breasted Spinetail
PEPT,Pale-eyed Pygmy-Tyrant
PVPI,Pale-vented Pigeon
PVTH,Pale-vented Thrush
PALI,Palila
PALB,Pallas's Bunting
PGWA,Pallas's Grasshopper Warbler
PAGU,Pallas's Gull
PLEW,Pallas's Leaf Warbler
PARO,Pallas's Rosefinch
PATA,Palm Tanager
PAWA,Palm Warbler
PALM,Palmchat
PAFL,Panama Flycatcher
PAAU,Parakeet Auklet
PAJA,Parasitic Jaeger
PAPE,Parkinson's Petrel
PAPI,Passenger Pigeon
PEKI,Pearl Kite
PBCU,Pearly-breasted Cuckoo
PETH,Pearly-eyed Thrasher
PEPI,Pechora Pipit
PESA,Pectoral Sandpiper
PBFI,Peg-billed Finch
PECO,Pelagic Cormorant
PEFA,Peregrine Falcon
PEBO,Peruvian Booby
PHAI,Phainopepla
PHCU,Pheasant Cuckoo
PHVI,Philadelphia Vireo
PIPU,Pied Puffbird
PIWT,Pied Water-Tyrant
PIWH,Pied Wheatear
PBGR,Pied-billed Grebe
PIGU,Pigeon Guillemot
PILF,Pileated Flycatcher
PIWO,Pileated Woodpecker
PIBU,Pine Bunting
PINF,Pine Flycatcher
PIGR,Pine Grosbeak
PISI,Pine Siskin
PIWA,Pine Warbler
PFGO,Pink-footed Goose
PFSH,Pink-footed Shearwater
PHWA,Pink-headed Warbler
PSJU,Pink-sided Junco
PIBI,Pinnated Bittern
PTSN,Pin-tailed Snipe
PTWH,Pin-tailed Whydah
PIJA,Pinyon Jay
PIPL,Piping Plover
PIRF,Piratic Flycatcher
PICH,Pirre Chlorospingus
PIHU,Pirre Hummingbird
PIRW,Pirre Warbler
PLAN,Plain Antvireo
PLCH,Plain Chachalaca
PLAP,Plain Pigeon
PBGD,Plain-breasted Ground Dove
PBRW,Plain-brown Woodcreeper
PCST,Plain-capped Starthroat
PCTA,Plain-colored Tanager
PLHA,Plumbeous Hawk
PLKI,Plumbeous Kite
PLUP,Plumbeous Pigeon
PLVI,Plumbeous Vireo
PLUW,Plumbeous Warbler
POJA,Pomarine Jaeger
POUL,Poo-uli
PRFA,Prairie Falcon
PRAW,Prairie Warbler
PBBA,Prong-billed Barbet
PROW,Prothonotary Warbler
PRPE,Providence Petrel
PUAI,Puaiohi
PRAM,Puerto Rican Amazon
PBWH,Puerto Rican Broad-winged Hawk
PRBU,Puerto Rican Bullfinch
PREM,Puerto Rican Emerald
PREU,Puerto Rican Euphonia
PRFL,Puerto Rican Flycatcher
PRLC,Puerto Rican Lizard-Cuckoo
PRMA,Puerto Rican Mango
PRNI,Puerto Rican Nightjar
PROR,Puerto Rican Oriole
PRIO,Puerto Rican Owl
PRPA,Puerto Rican Parakeet
PRPP,Puerto Rican Plain Pigeon
PSSH,Puerto Rican Sharp-shinned Hawk
PRSP,Puerto Rican Spindalis
PRTA,Puerto Rican Tanager
PRTO,Puerto Rican Tody
PRVI,Puerto Rican Vireo
PRWO,Puerto Rican Woodpecker
PSWS,Puget Sound White-crowned Sparrow
PUFI,Purple Finch
PUGA,Purple Gallinule
PUHE,Purple Heron
PUHO,Purple Honeycreeper
PUMA,Purple Martin
PUSA,Purple Sandpiper
PUSW,Purple Swamphen
PCFA,Purple-crowned Fairy
PTCA,Purple-throated Carib
PTFR,Purple-throated Fruitcrow
PTMG,Purple-throated Mountain-gem
PTWO,Purple-throated Woodstar
PBJA,Purplish-backed Jay
PBQD,Purplish-backed Quail-Dove
PYNU,Pygmy Nuthatch
PYRR,Pyrrhuloxia
RAZO,Razorbill
REAV,Red Avadavat
RECR,Red Crossbill
REJU,Red Junglefowl
REKN,Red Knot
REPH,Red Phalarope
RESI,Red Siskin
REWA,Red Warbler
RAGM,Red-and-green Macaw
RBJU,Red-backed Junco
RBSH,Red-backed Shrike
RBWO,Red-bellied Woodpecker
RBLE,Red-billed Leiothrix
RBPI,Red-billed Pigeon
RBSC,Red-billed Scythebill
RBST,Red-billed Streamertail
RBTR,Red-billed Tropicbird
RBRC,Red-breasted Chat
RBRM,Red-breasted Meadowlark
RBME,Red-breasted Merganser
RBNU,Red-breasted Nuthatch
RBSA,Red-breasted Sapsucker
RCMA,Red-capped Manakin
RCWO,Red-cockaded Woodpecker
RCCA,Red-crested Cardinal
RCAM,Red-crowned Amazon
RCAT,Red-crowned Ant-Tanager
RCRW,Red-crowned Woodpecker
REEG,Reddish Egret
REVI,Red-eyed Vireo
RFCO,Red-faced Cormorant
RFSP,Red-faced Spinetail
RFWA,Red-faced Warbler
RFBL,Red-flanked Bluetail
RFBO,Red-footed Booby
RFFA,Red-footed Falcon
RFPA,Red-fronted Parrotlet
REDH,Redhead
RHBA,Red-headed Barbet
RHTA,Red-headed Tanager
RHWO,Red-headed Woodpecker
RLHO,Red-legged Honeycreeper
RLKI,Red-legged Kittiwake
RLTH,Red-legged Thrush
RLAM,Red-lored Amazon
RMPA,Red-masked Parakeet
RNSA,Red-naped Sapsucker
RNAM,Red-necked Amazon
RNGR,Red-necked Grebe
RNPH,Red-necked Phalarope
RNST,Red-necked Stint
REDP,Redpoll
RRWO,Red-rumped Woodpecker
RSFL,Red-shafted Flicker
RSBL,Red-shouldered Blackbird
RSHA,Red-shouldered Hawk
RTHA,Red-tailed Hawk
RTTR,Red-tailed Tropicbird
RTAT,Red-throated Ant-Tanager
RTCA,Red-throated Caracara
RTLO,Red-throated Loon
RTPI,Red-throated Pipit
RVBU,Red-vented Bulbul
RWBU,Red-whiskered Bulbul
REDW,Redwing
RWBL,Red-winged Blackbird
REBU,Reed Bunting
REQU,Resplendent Quetzal
RHAU,Rhinoceros Auklet
RIHA,Ridgway's Hawk
RIRA,Ridgway's Rail
RBGU,Ring-billed Gull
RIKI,Ringed Kingfisher
RISP,Ringed Storm-Petrel
RNDU,Ring-necked Duck
RNEP,Ring-necked Pheasant
RTAP,Ring-tailed Pigeon
RIWA,River Warbler
RIWR,Riverside Wren
RIHU,Rivoli's Hummingbird
ROHA,Roadside Hawk
ROPI,Rock Pigeon
ROPT,Rock Ptarmigan
ROSA,Rock Sandpiper
ROWR,Rock Wren
ROOK,Rook
ROSP,Roseate Spoonbill
ROST,Roseate Tern
RBBU,Rose-bellied Bunting
RBGR,Rose-breasted Grosbeak
RRPA,Rose-ringed Parakeet
RTBE,Rose-throated Becard
RTTA,Rose-throated Tanager
ROGO,Ross's Goose
ROGU,Ross's Gull
ROTT,Rosy Thrush-Tanager
RFLO,Rosy-faced Lovebird
RLHA,Rough-legged Hawk
ROFL,Royal Flycatcher
ROYT,Royal Tern
RCKI,Ruby-crowned Kinglet
RTHU,Ruby-throated Hummingbird
RTOH,Ruby-topaz Hummingbird
RUCR,Ruddy Crake
RUDU,Ruddy Duck
RUFG,Ruddy Foliage-gleaner
RGDO,Ruddy Ground Dove
RUDP,Ruddy Pigeon
RUQD,Ruddy Quail-Dove
RUSH,Ruddy Shelduck
RUTR,Ruddy Treerunner
RUTU,Ruddy Turnstone
RUWO,Ruddy Woodcreeper
RBSE,Ruddy-breasted Seedeater
RCNT,Ruddy-capped Nightingale-Thrush
RDTF,Ruddy-tailed Flycatcher
RRKN,Rufa Red Knot
RTHE,Rufescent Tiger-Heron
RUFF,Ruff
RUGR,Ruffed Grouse
RUHU,Rufous Hummingbird
RMOT,Rufous Motmot
RMOU,Rufous Mourner
RUNI,Rufous Nightjar
RUFP,Rufous Piha
RUSA,Rufous Sabrewing
RAHH,Rufous x Allen's Hummingbird Hybrid
RAWW,Rufous-and-white Wren
RBRO,Rufous-backed Robin
RBAW,Rufous-backed Wren
RBEC,Rufous-bellied Chachalaca
RBAN,Rufous-breasted Antthrush
RBHE,Rufous-breasted Hermit
RBSP,Rufous-breasted Spinetail
RBSW,Rufous-breasted Wren
RBPE,Rufous-browed Peppershrike
RBTY,Rufous-browed Tyrannulet
RBWW,Rufous-browed Wren
RCBR,Rufous-capped Brushfinch
RCWA,Rufous-capped Warbler
RCRO,Rufous-collared Robin
RCOS,Rufous-collared Sparrow
RCRC,Rufous-crested Coquette
RCSP,Rufous-crowned Sparrow
RNWR,Rufous-necked Wood-Rail
RRAN,Rufous-rumped Antwren
RFTF,Rufous-tailed Flycatcher
RTAH,Rufous-tailed Hummingbird
RTJA,Rufous-tailed Jacamar
RTRO,Rufous-tailed Robin
RTRT,Rufous-tailed Rock-thrush
RTSO,Rufous-throated Solitaire
RVCH,Rufous-vented Chachalaca
RVGC,Rufous-vented Ground-Cuckoo
RWSP,Rufous-winged Sparrow
RWTA,Rufous-winged Tanager
RWWO,Rufous-winged Woodpecker
RUAN,Russet Antshrike
RUNT,Russet Nightingale-Thrush
RCMO,Russet-crowned Motmot
RCQD,Russet-crowned Quail-Dove
RSWR,Russet-naped Wood-Rail
RNAW,Russet-naped Wren
RWSC,Russet-winged Schiffornis
RUBU,Rustic Bunting
RUBL,Rusty Blackbird
RUSP,Rusty Sparrow
RCGS,Rusty-crowned Ground-Sparrow
RMFL,Rusty-margined Flycatcher
RWAN,Rusty-winged Antwren
SAGU,Sabine's Gull
SADF,Sad Flycatcher
SAFI,Saffron Finch
SHPA,Saffron-headed Parrot
SATH,Sage Thrasher
SABS,Sagebrush Sparrow
SALS,Saltmarsh Sparrow
SALF,Salvadorian Flycatcher
SAAL,Salvin's Albatross
SAVI,San Andres Vireo
SBJA,San Blas Jay
SCBS,San Clemente Bell's Sparrow
SCLS,San Clemente Loggerhead Shrike
SAND,Sanderling
SACR,Sandhill Crane
SATE,Sandwich Tern
SAPA,Sapayoa
SHTH,Sapphire-throated Hummingbird
SASH,Sargasso Shearwater
SAHA,Savanna Hawk
SAVS,Savannah Sparrow
SAPH,Say's Phoebe
SCPT,Scale-crested Pygmy-Tyrant
SCAA,Scaled Antpitta
SCPI,Scaled Pigeon
SCQU,Scaled Quail
SBRH,Scaly-breasted Hummingbird
SBMU,Scaly-breasted Munia
SBTH,Scaly-breasted Thrasher
SCBW,Scaly-breasted Wren
SNPI,Scaly-naped Pigeon
STFG,Scaly-throated Foliage-gleaner
STLE,Scaly-throated Leaftosser
SCIB,Scarlet Ibis
SCMA,Scarlet Macaw
SCTA,Scarlet Tanager
SBTA,Scarlet-browed Tanager
SRCA,Scarlet-rumped Cacique
SCRT,Scarlet-rumped Tanager
STDA,Scarlet-thighed Dacnis
SCHU,Scintillant Hummingbird
STFL,Scissor-tailed Flycatcher
SCSH,Scopoli's Shearwater
SCOR,Scott's Oriole
SCMU,Scripps's Murrelet
SEUP,Scrub Euphonia
SCRG,Scrub Greenlet
SESP,Seaside Sparrow
SEWA,Sedge Warbler
SEWR,Sedge Wren
SEPL,Semipalmated Plover
SESA,Semipalmated Sandpiper
SEHA,Semiplumbeous Hawk
SEMW,Semper's Warbler
SECF,Sepia-capped Flycatcher
SHAR,Sharpbill
SSHA,Sharp-shinned Hawk
STGR,Sharp-tailed Grouse
SPTS,Sharp-tailed Sandpiper
STSP,Sharp-tailed Sparrow
STST,Sharp-tailed Streamcreeper
SHHO,Shining Honeycreeper
SHCO,Shiny Cowbird
SBDO,Short-billed Dowitcher
SBIG,Short-billed Gull
SBPI,Short-billed Pigeon
SCCO,Short-crested Coquette
SEOW,Short-eared Owl
STAL,Short-tailed Albatross
STHA,Short-tailed Hawk
SHTN,Short-tailed Nighthawk
STTS,Short-tailed Shearwater
STSW,Short-tailed Swift
SIAC,Siberian Accentor
SBRO,Siberian Blue Robin
SIHM,Siberian House-Martin
SIPI,Siberian Pipit
SIRU,Siberian Rubythroat
SISP,Siberian Sand-Plover
SISW,Sick's Swift
SMSP,Sierra Madre Sparrow
STTA,Silver-throated Tanager
SFTA,Silvery-fronted Tapaculo
STHJ,Silvery-throated Jay
SICR,Sinaloa Crow
SIMA,Sinaloa Martin
SIWR,Sinaloa Wren
SIQU,Singing Quail
SCOG,Slate-colored Grosbeak
SCJU,Slate-colored Junco
SCSE,Slate-colored Seedeater
SCSO,Slate-colored Solitaire
SHTF,Slate-headed Tody-Flycatcher
STGN,Slate-throated Gnatcatcher
STRE,Slate-throated Redstart
SLAN,Slaty Antwren
SLFI,Slaty Finch
SLFL,Slaty Flowerpiercer
SLSP,Slaty Spinetail
SLVI,Slaty Vireo
SBFF,Slaty-backed Forest-Falcon
SBAG,Slaty-backed Gull
SBNT,Slaty-backed Nightingale-Thrush
SBTI,Slaty-breasted Tinamou
