code,common_name
BCVI,Black-capped Vireo
BCAT,Black-cheeked Ant-Tanager
BCWA,Black-cheeked Warbler
BCWO,Black-cheeked Woodpecker
BCHJ,Black-chested Jay
BCHS,Black-chested Sparrow
BCHU,Black-chinned Hummingbird
BCSP,Black-chinned Sparrow
BCHA,Black-collared Hawk
BCOR,Black-cowled Oriole
BCCO,Black-crested Coquette
BCTI,Black-crested Titmouse
BCAP,Black-crowned Antpitta
BCAS,Black-crowned Antshrike
BCNH,Black-crowned Night Heron
BPLT,Black-crowned Palm-Tanager
BCRT,Black-crowned Tityra
BEWQ,Black-eared Wood-Quail
BFAN,Black-faced Antthrush
BFGR,Black-faced Grassquit
BFAG,Black-faced Grosbeak
BFSO,Black-faced Solitaire
BFAL,Black-footed Albatross
BHEA,Black-headed Antthrush
BHBR,Black-headed Brushfinch
BHGR,Black-headed Grosbeak
BHGU,Black-headed Gull
BHNT,Black-headed Nightingale-Thrush
BHSA,Black-headed Saltator
BHSI,Black-headed Siskin
BHTF,Black-headed Tody-Flycatcher
BHTR,Black-headed Trogon
BHOA,Black-hooded Antshrike
BLKI,Black-legged Kittiwake
BNST,Black-necked Stilt
BLPW,Blackpoll Warbler
BPYE,Black-polled Yellowthroat
BLRW,Black-rumped Waxbill
BSTS,Black-striped Sparrow
BSWO,Black-striped Woodcreeper
BTFL,Black-tailed Flycatcher
BTGN,Black-tailed Gnatcatcher
BLTG,Black-tailed Godwit
BTGU,Black-tailed Gull
BTTR,Black-tailed Trogon
BTGG,Black-thighed Grosbeak
BTBW,Black-throated Blue Warbler
BTBO,Black-throated Bobwhite
BTYW,Black-throated Gray Warbler
BTNW,Black-throated Green Warbler
BTJA,Black-throated Jay
BTMJ,Black-throated Magpie-Jay
BTMA,Black-throated Mango
BTST,Black-throated Shrike-Tanager
BTSP,Black-throated Sparrow
BTWR,Black-throated Wren
BTCO,Black-tipped Cotinga
BVOR,Black-vented Oriole
BVSH,Black-vented Shearwater
BWVI,Black-whiskered Vireo
BWPE,Black-winged Petrel
BWST,Black-winged Stilt
BLBU,Blue Bunting
BLCO,Blue Cotinga
BLDA,Blue Dacnis
BLGR,Blue Grosbeak
BGDO,Blue Ground Dove
BLJA,Blue Jay
BLMO,Blue Mockingbird
BMVI,Blue Mountain Vireo
BLRT,Blue Rock-thrush
BLSE,Blue Seedeater
BAGT,Blue-and-gold Tanager
BAWM,Blue-and-white Mockingbird
BAWS,Blue-and-white Swallow
BAYM,Blue-and-yellow Macaw
BBWT,Blue-billed White-Tern
BBGR,Blue-black Grassquit
BGRO,Blue-black Grosbeak
BCAH,Blue-capped Hummingbird
BCMO,Blue-capped Motmot
